Frame,SMA,WMA
1,9.62557,9.62557
2,7.86931,7.41814
3,7.32227,6.88796
4,7.26824,6.9754
5,7.13057,6.85577
6,7.06459,6.82585
7,7.29859,7.28213
8,7.48229,7.6177
9,7.62443,7.85771
10,7.76232,8.08177
11,7.88133,8.26326
12,7.94169,8.32366
13,7.97451,8.33316
14,8.05616,8.44953
15,8.12242,8.53436
16,8.15891,8.55899
17,8.19859,8.59459
18,8.22973,8.61555
19,8.24811,8.61334
20,8.25006,8.58118
21,8.27209,8.59528
22,8.28556,8.59384
23,8.31509,8.62802
24,8.33789,8.6491
25,8.35319,8.65586
26,8.37228,8.67206
27,8.35067,8.60555
28,8.37599,8.63935
29,8.40673,8.68447
30,8.42101,8.69541
31,8.33181,8.49613
32,8.28327,8.3889
33,8.20731,8.23292
34,8.13291,8.08728
35,8.09322,8.01379
36,8.05075,7.93734
37,8.03131,7.90644
38,7.99851,7.85095
39,8.01774,7.89446
40,8.03585,7.93476
41,8.00822,7.88703
42,7.9544,7.7911
43,7.91719,7.72877
44,7.88109,7.66982
45,7.82664,7.57827
46,7.80458,7.54801
47,7.82722,7.60007
48,7.83887,7.63068
49,7.8539,7.66681
50,7.86165,7.68851
51,7.85921,7.69044
52,7.86178,7.70151
53,7.88144,7.74451
54,7.88653,7.75907
55,7.8882,7.76673
56,7.89921,7.79196
57,7.89661,7.79063
58,7.86691,7.73748
59,7.8424,7.69519
60,7.82374,7.66461
61,7.80431,7.633
62,7.80941,7.64794
63,7.81051,7.65496
64,7.82994,7.69654
65,7.84351,7.7264
66,7.82271,7.69016
67,7.80965,7.66914
68,7.76924,7.59662
69,7.73374,7.53473
70,7.71168,7.49895
71,7.69177,7.46762
72,7.68058,7.45276
73,7.69399,7.48373
74,7.70396,7.50785
75,7.70396,7.51288
76,7.71651,7.54137
77,7.72293,7.55789
78,7.72863,7.57276
79,7.73578,7.59017
80,7.74481,7.61092
81,7.75415,7.63197
82,7.76479,7.65529
83,7.773,7.67364
84,7.78238,7.69407
85,7.79334,7.7173
86,7.80433,7.74039
87,7.81458,7.76179
88,7.82428,7.78192
89,7.82948,7.79304
90,7.83954,7.81357
91,7.8438,7.82251
92,7.85358,7.84225
93,7.86222,7.85956
94,7.87232,7.87961
95,7.88048,7.89566
96,7.87899,7.89238
97,7.88526,7.90457
98,7.89492,7.92342
99,7.89902,7.93102
100,7.90177,7.93589
101,7.90907,7.9498
102,7.91538,7.96165
103,7.91978,7.96956
104,7.9261,7.9813
105,7.93307,7.99426
106,7.9372,8.00142
107,7.94484,8.01562
108,7.94988,8.02447
109,7.95559,8.03464
110,7.95533,8.03268
111,7.96139,8.04354
112,7.95935,8.03794
113,7.96288,8.04369
114,7.97051,8.0577
115,7.97348,8.06221
116,7.97931,8.07249
117,7.98154,8.07543
118,7.98839,8.08775
119,7.99461,8.09873
120,8.00028,8.10851
121,8.00665,8.11972
122,8.01292,8.13063
123,8.0198,8.14277
124,8.02258,8.14645
125,8.02945,8.15853
126,8.03029,8.15816
127,8.03121,8.15802
128,8.0349,8.1636
129,8.0429,8.17798
130,8.05078,8.19207
131,8.04223,8.17235
132,8.04127,8.16838
133,8.03934,8.16252
134,8.04283,8.1678
135,8.04767,8.17584
136,8.05093,8.18062
137,8.0532,8.18336
138,8.05533,8.18582
139,8.05986,8.19322
140,8.06225,8.19619
141,8.06594,8.20186
142,8.06907,8.20634
143,8.07467,8.21592
144,8.07468,8.21395
145,8.06864,8.19962
146,8.07323,8.20722
147,8.05276,8.1635
148,8.05626,8.16913
149,8.06158,8.17847
150,8.06519,8.18428
151,8.06762,8.18767
152,8.07059,8.19215
153,8.07484,8.19926
154,8.08016,8.20853
155,8.08534,8.21748
156,8.08971,8.22474
157,8.09402,8.23185
158,8.09816,8.2386
159,8.10043,8.24148
160,8.10257,8.2441
