Frame,SMA,WMA
1,1.66359,1.66359
2,1.86102,1.93767
3,1.79141,1.79201
4,1.89388,1.96162
5,1.96059,2.05796
6,2.05254,2.20438
7,2.11117,2.28127
8,2.14625,2.31248
9,2.16361,2.31263
10,2.20347,2.36618
11,2.2501,2.43558
12,2.29179,2.49463
13,2.3283,2.54308
14,2.36135,2.58506
15,2.39332,2.62597
16,2.40863,2.63041
17,2.42124,2.63177
18,2.43365,2.63531
19,2.45048,2.65082
20,2.46956,2.67255
21,2.48038,2.67668
22,2.47532,2.64727
23,2.48478,2.65263
24,2.49394,2.65827
25,2.50335,2.66531
26,2.51341,2.67444
27,2.52525,2.688
28,2.53091,2.6884
29,2.53772,2.69207
30,2.54944,2.70699
31,2.55084,2.69961
32,2.55788,2.70535
33,2.56719,2.71636
34,2.5657,2.70416
35,2.57377,2.71344
36,2.58111,2.72134
37,2.58831,2.72912
38,2.59495,2.73588
39,2.59886,2.73692
40,2.6006,2.73359
41,2.60264,2.73134
42,2.60494,2.73
43,2.6057,2.72567
44,2.60933,2.72785
45,2.61216,2.72851
46,2.61896,2.73786
47,2.62485,2.74528
48,2.63066,2.75257
49,2.63492,2.75661
50,2.63862,2.75955
51,2.64246,2.76291
52,2.64595,2.76564
53,2.64928,2.76814
54,2.65383,2.77337
55,2.65841,2.77874
56,2.66234,2.78274
57,2.66524,2.78462
58,2.6697,2.78998
59,2.67207,2.79086
60,2.67584,2.79489
61,2.67964,2.79903
62,2.68249,2.80117
63,2.68614,2.80514
64,2.68767,2.80461
65,2.68914,2.80404
66,2.69018,2.80269
67,2.69212,2.8034
68,2.69585,2.808
69,2.69802,2.8093
70,2.69444,2.79841
71,2.69491,2.79643
72,2.69505,2.79383
73,2.69572,2.7925
74,2.69695,2.79243
75,2.6988,2.79374
76,2.69793,2.78935
77,2.69989,2.79107
78,2.6958,2.78007
79,2.68655,2.75858
80,2.68246,2.74826
81,2.68266,2.74703
82,2.68569,2.75172
83,2.6859,2.75053
84,2.68717,2.75162
85,2.68928,2.75446
86,2.69148,2.75749
87,2.69209,2.75721
88,2.69337,2.75836
89,2.69327,2.75667
90,2.69362,2.75598
91,2.69548,2.75845
92,2.69519,2.75646
93,2.69347,2.75157
94,2.69498,2.75344
95,2.69568,2.75364
96,2.69753,2.75624
97,2.69888,2.75781
98,2.70085,2.76065
99,2.7028,2.76347
100,2.70446,2.76569
101,2.70609,2.76782
102,2.70669,2.76786
103,2.70833,2.77003
104,2.70992,2.77213
105,2.71123,2.77364
106,2.71291,2.77594
107,2.71487,2.77881
108,2.71361,2.775
109,2.71244,2.77143
110,2.70862,2.76246
111,2.71091,2.76621
112,2.71249,2.76846
113,2.71357,2.76969
114,2.71562,2.77292
115,2.71757,2.77596
116,2.71968,2.77931
117,2.72027,2.77949
118,2.7222,2.78246
119,2.72372,2.78458
120,2.72548,2.78721
121,2.72764,2.79067
122,2.72888,2.79218
123,2.72947,2.79237
124,2.73136,2.79527
125,2.7325,2.7966
126,2.73425,2.79919
127,2.73622,2.80226
128,2.73835,2.80564
129,2.74074,2.80955
130,2.74237,2.81187
131,2.74252,2.81112
132,2.74381,2.81274
133,2.74542,2.81505
134,2.74744,2.81821
135,2.74986,2.82219
136,2.7457,2.81243
137,2.74635,2.81279
138,2.74841,2.81611
139,2.74982,2.81805
140,2.75167,2.82094
141,2.75342,2.82359
142,2.75529,2.82648
143,2.75579,2.82651
144,2.75755,2.82918
145,2.75897,2.83114
146,2.76023,2.83277
147,2.76239,2.83628
148,2.76358,2.83776
149,2.76479,2.83928
150,2.76534,2.83941
151,2.76551,2.83877
152,2.76647,2.83981
153,2.76802,2.84207
154,2.7694,2.84398
155,2.77161,2.84762
156,2.77304,2.84964
157,2.77505,2.85286
158,2.77678,2.85549
159,2.77879,2.8587
160,2.77898,2.85808
161,2.77684,2.85259
162,2.77938,2.85695
163,2.78151,2.86046
164,2.75756,2.8096
165,2.67578,2.64525
166,2.60582,2.513
167,2.55327,2.41859
168,2.55356,2.42061
169,2.55594,2.42636
170,2.55823,2.43191
171,2.5607,2.43776
172,2.56323,2.44367
173,2.56541,2.44893
174,2.56759,2.45416
175,2.57014,2.46003
176,2.57258,2.46568
177,2.57517,2.47158
178,2.57765,2.47724
179,2.5801,2.48281
180,2.58212,2.48758
181,2.58454,2.49306
182,2.58697,2.49853
183,2.58902,2.50327
184,2.59127,2.50835
185,2.59319,2.51279
186,2.59555,2.51805
187,2.59756,2.52262
188,2.5996,2.52722
189,2.60174,2.53199
190,2.60382,2.53662
191,2.60614,2.54169
192,2.60828,2.54641
193,2.61005,2.55039
194,2.61231,2.55528
195,2.61416,2.55938
196,2.61631,2.56403
197,2.61812,2.568
198,2.62016,2.5724
199,2.62226,2.57692
200,2.6242,2.58109
201,2.62609,2.58516
202,2.62829,2.58979
203,2.63036,2.59417
204,2.63259,2.59885
205,2.63467,2.6032
206,2.63644,2.60695
207,2.6381,2.61046
208,2.63936,2.61317
209,2.64108,2.61678
210,2.64282,2.62041
211,2.64444,2.6238
212,2.64599,2.62703
213,2.64723,2.62963
214,2.6487,2.63269
215,2.65014,2.63567
216,2.65174,2.63897
217,2.65344,2.64243
218,2.65484,2.64531
219,2.65635,2.64837
220,2.65778,2.65127
221,2.65934,2.65443
222,2.66076,2.65729
223,2.66179,2.65936
224,2.66281,2.66142
225,2.66358,2.66295
226,2.66519,2.66617
227,2.66651,2.66879
228,2.66802,2.67178
229,2.66946,2.67462
230,2.67062,2.6769
231,2.67215,2.67991
232,2.6732,2.68194
233,2.67483,2.68515
234,2.67599,2.68739
235,2.67744,2.69019
236,2.67905,2.69333
237,2.68034,2.6958
238,2.68091,2.69682
239,2.6824,2.69971
240,2.68278,2.70033
241,2.68326,2.70115
242,2.68421,2.7029
243,2.68554,2.70544
244,2.68667,2.70756
245,2.68812,2.71033
246,2.68888,2.71169
247,2.68928,2.7123
248,2.69055,2.7147
249,2.69173,2.71689
250,2.69205,2.71736
251,2.66029,2.65345
252,2.61167,2.55884
253,2.56739,2.4759
254,2.54208,2.4301
255,2.54373,2.43394
256,2.54569,2.43834
257,2.54674,2.44106
258,2.54834,2.44477
259,2.54989,2.44838
260,2.55177,2.45258
261,2.55318,2.45591
262,2.55474,2.45951
263,2.55656,2.46356
264,2.55781,2.46656
265,2.55954,2.47042
266,2.56086,2.47353
267,2.5622,2.47664
268,2.56358,2.47983
269,2.56491,2.48291
270,2.56674,2.48692
271,2.56819,2.49021
272,2.56972,2.49363
273,2.5708,2.4962
274,2.57239,2.49971
275,2.57406,2.50336
276,2.57552,2.50661
277,2.57694,2.50978
278,2.57845,2.51311
279,2.57782,2.51238
280,2.57764,2.51248
281,2.57738,2.51245
282,2.57887,2.51571
283,2.5798,2.51791
284,2.58097,2.52056
285,2.58236,2.52361
286,2.58394,2.52703
287,2.58529,2.52999
288,2.5861,2.53192
289,2.58722,2.53441
290,2.58815,2.53655
291,2.58973,2.53993
292,2.58911,2.53908
293,2.58888,2.53897
294,2.58947,2.54044
295,2.59049,2.54271
296,2.59124,2.54447
297,2.59247,2.54714
298,2.59123,2.54506
299,2.59147,2.54581
300,2.5914,2.54598
301,2.59204,2.54751
302,2.59319,2.55002
303,2.59472,2.55324
304,2.5962,2.55638
305,2.5977,2.55953
306,2.59906,2.56241
307,2.60007,2.5646
308,2.60151,2.56762
309,2.6033,2.57133
310,2.60479,2.57442
