Frame,SMA,WMA
1,1.12366,1.12366
2,1.44092,1.59062
3,1.66254,1.9136
4,1.81291,2.1083
5,1.93735,2.26743
6,2.03851,2.38899
7,2.08898,2.4048
8,2.12212,2.40087
9,2.14902,2.39898
10,2.19427,2.44971
11,2.22498,2.47159
12,2.26375,2.51707
13,2.28533,2.52594
14,2.3085,2.54291
15,2.32977,2.55868
16,2.34621,2.56619
17,2.36144,2.57366
18,2.38755,2.60789
19,2.39992,2.61173
20,2.40797,2.60787
21,2.39405,2.55783
22,2.37245,2.49651
23,2.38373,2.50954
24,2.3852,2.50209
25,2.39384,2.5109
26,2.40069,2.51628
27,2.41135,2.53019
28,2.41697,2.53353
29,2.4261,2.54474
30,2.42928,2.54348
31,2.42856,2.5345
32,2.42781,2.52626
33,2.41251,2.48845
34,2.40505,2.46865
35,2.39122,2.43695
36,2.39084,2.43366
37,2.39272,2.43516
38,2.39393,2.43538
39,2.39214,2.42968
40,2.38318,2.40988
41,2.37205,2.38649
42,2.36856,2.37892
43,2.36773,2.37682
44,2.36863,2.37819
45,2.37112,2.38268
46,2.22902,2.1168
47,2.21538,2.09719
48,2.21608,2.10301
49,2.21402,2.10365
50,2.21812,2.11507
51,2.21792,2.11851
52,2.11131,1.93833
53,2.10041,1.92617
54,2.10345,1.93705
55,2.1068,1.94816
56,2.10861,1.95638
57,2.10991,1.96347
58,2.11434,1.97569
59,2.114,1.97943
60,2.11899,1.99224
61,2.12482,2.0063
62,2.1309,2.02059
63,2.13699,2.0347
64,2.13964,2.04244
65,2.13844,2.0431
66,2.13999,2.04863
67,2.14516,2.06059
68,2.15105,2.07371
69,2.15658,2.08601
70,2.16184,2.09768
71,2.16169,2.09913
72,2.16688,2.11049
73,2.17056,2.11888
74,2.17247,2.12383
75,2.17027,2.12092
76,2.17144,2.12439
77,2.17549,2.13324
78,2.17428,2.13199
79,2.17551,2.13537
80,2.17131,2.12836
81,2.17217,2.13102
82,2.17148,2.13069
83,2.1701,2.12901
84,2.16873,2.12735
85,2.1677,2.12635
86,2.16724,2.1264
87,2.16589,2.12473
88,2.16359,2.12127
89,2.16264,2.12038
90,2.16244,2.12092
91,2.16562,2.12786
92,2.16865,2.13446
93,2.16793,2.13379
94,2.17025,2.13896
95,2.16958,2.13831
